time_in_cycles,T50,P30,Ps30,Nc,NRf,phi,BPR,W32,htBleed,RUL
54,1401.2,553.95,47.38,9056.29,2388.06,522.44,8.4189,23.2348,392,138
55,1401.58,554.45,47.4,9048.94,2388.02,522.11,8.4071,23.3567,392,137
56,1400.76,553.98,47.26,9042.42,2388.04,522.48,8.4022,23.3408,391,136
57,1402.79,553.42,47.29,9050.8,2388.08,521.62,8.4263,23.3567,392,135
58,1397.99,554.14,47.26,9050.33,2388.04,522.21,8.4319,23.2893,390,134
59,1403.51,554.62,47.26,9050.06,2388.02,521.32,8.4476,23.4444,392,133
60,1403.07,554.0,47.41,9051.69,2388.03,522.49,8.3878,23.387,393,132
61,1405.52,554.09,47.31,9050.58,2388.09,522.34,8.4264,23.3638,391,131
62,1399.54,554.45,47.28,9053.62,2388.1,522.19,8.4071,23.2707,391,130
63,1395.38,553.48,47.51,9049.96,2388.01,521.56,8.4357,23.3436,394,129
64,1400.11,553.88,47.45,9043.67,2388.04,521.82,8.4066,23.384,391,128
65,1403.24,553.97,47.56,9044.01,2388.13,521.54,8.4406,23.3752,392,127
66,1399.52,554.0,47.14,9059.45,2388.05,521.76,8.3911,23.3152,391,126
67,1403.02,554.31,47.39,9050.24,2388.08,522.64,8.3925,23.291,393,125
68,1404.42,554.04,47.36,9051.78,2388.07,521.72,8.4242,23.3174,392,124
69,1401.24,554.65,47.41,9050.59,2388.1,522.22,8.4292,23.3742,392,123
70,1402.78,554.01,47.41,9053.43,2388.12,521.93,8.4279,23.4513,392,122
71,1403.09,554.06,47.3,9046.09,2388.09,521.72,8.423,23.3881,391,121
72,1406.81,553.76,47.27,9054.42,2388.09,521.97,8.3951,23.3085,391,120
73,1397.93,553.88,47.29,9049.64,2388.1,522.04,8.404,23.3975,391,119
74,1401.48,554.03,47.58,9045.85,2387.97,522.25,8.4135,23.382,392,118
75,1394.82,553.6,47.22,9042.32,2388.11,521.77,8.4621,23.3521,392,117
76,1398.94,553.66,47.44,9056.55,2388.03,521.58,8.3996,23.4428,390,116
77,1400.97,554.61,47.41,9046.44,2388.08,521.6,8.453,23.275,393,115
78,1404.1,553.47,47.4,9042.37,2388.16,522.28,8.3793,23.3486,392,114
79,1403.93,553.77,47.35,9047.86,2388.13,521.85,8.4132,23.3121,394,113
80,1393.58,553.91,47.64,9043.67,2388.1,521.52,8.4235,23.3613,392,112
81,1402.04,553.88,47.43,9045.31,2388.05,521.66,8.4247,23.373,392,111
82,1399.17,554.18,47.25,9048.22,2388.03,521.95,8.3986,23.2713,393,110
83,1406.38,553.49,47.22,9049.08,2388.05,521.93,8.4128,23.3274,391,109
84,1406.6,553.91,47.38,9050.47,2388.06,521.54,8.4139,23.2653,392,108
85,1405.96,554.4,47.36,9056.08,2388.05,522.3,8.4499,23.284,392,107
86,1403.56,553.69,47.38,9047.26,2388.09,521.82,8.4173,23.3945,394,106
87,1413.1,554.1,47.34,9050.52,2388.06,521.43,8.4326,23.3402,391,105
88,1406.09,554.48,47.46,9046.73,2388.04,522.2,8.4586,23.3086,392,104
89,1402.22,553.91,47.46,9055.24,2388.08,521.55,8.4489,23.3288,392,103
90,1412.93,552.88,47.32,9051.27,2388.09,521.49,8.3961,23.4712,391,102
91,1404.76,553.54,47.32,9050.72,2388.1,521.55,8.3949,23.3842,394,101
92,1400.77,553.81,47.45,9048.36,2388.05,521.91,8.3982,23.3522,392,100
93,1408.48,554.07,47.46,9047.87,2388.08,521.43,8.421,23.2477,392,99
94,1404.94,553.86,47.48,9045.83,2388.07,521.61,8.4524,23.3758,393,98
95,1410.1,553.91,47.38,9048.85,2388.02,521.92,8.4575,23.3269,394,97
96,1395.16,553.34,47.39,9048.71,2388.06,521.66,8.4311,23.3255,392,96
97,1407.81,553.4,47.46,9046.1,2388.06,521.67,8.4105,23.2963,392,95
98,1404.56,552.75,47.37,9045.49,2388.06,522.31,8.4012,23.2554,391,94
99,1406.13,553.76,47.4,9045.14,2388.1,521.42,8.4481,23.2323,393,93
100,1411.35,554.22,47.64,9045.72,2388.08,521.55,8.4241,23.409,392,92
101,1403.41,553.37,47.62,9052.3,2388.08,521.89,8.4353,23.4149,391,91
102,1403.42,553.42,47.49,9051.36,2388.05,521.38,8.4561,23.3653,393,90
103,1403.21,553.64,47.57,9053.28,2388.1,521.41,8.4263,23.4289,392,89
104,1406.25,553.66,47.34,9044.73,2388.09,522.38,8.4021,23.3393,392,88
105,1403.22,553.11,47.31,9048.36,2388.08,521.81,8.4326,23.3857,393,87
106,1404.45,553.6,47.44,9049.82,2388.09,521.51,8.4664,23.4148,392,86
107,1407.73,553.74,47.35,9048.68,2388.07,521.75,8.4241,23.4086,396,85
108,1399.47,554.43,47.61,9047.03,2388.03,521.52,8.4133,23.3032,393,84
109,1409.1,553.59,47.58,9051.13,2388.11,521.62,8.3757,23.3561,394,83
110,1401.27,554.08,47.55,9051.4,2388.12,522.01,8.4638,23.2951,393,82
111,1408.11,553.49,47.62,9051.64,2388.14,521.53,8.4447,23.2135,392,81
112,1401.84,553.19,47.22,9051.28,2388.08,521.9,8.4445,23.3207,394,80
113,1406.59,552.91,47.46,9053.15,2388.16,521.75,8.458,23.3101,393,79
114,1402.97,554.29,47.58,9046.58,2388.15,521.68,8.429,23.3754,394,78
115,1406.6,554.13,47.43,9050.37,2388.12,521.36,8.4345,23.3022,393,77
116,1401.99,554.4,47.43,9049.71,2388.05,521.6,8.4059,23.3512,394,76
117,1409.35,554.59,47.52,9049.61,2388.1,521.22,8.4256,23.1766,391,75
118,1409.34,554.25,47.55,9051.12,2388.12,521.31,8.4197,23.2966,393,74
119,1404.46,553.77,47.55,9045.89,2388.09,521.46,8.4194,23.3188,394,73
120,1407.68,553.66,47.6,9048.72,2388.1,521.34,8.4029,23.3061,393,72
121,1411.9,553.7,47.44,9040.97,2388.04,521.3,8.4263,23.422,394,71
122,1413.97,553.43,47.6,9042.39,2388.12,520.92,8.4256,23.2793,393,70
123,1403.04,552.64,47.41,9049.44,2388.17,521.6,8.4396,23.292,392,69
124,1402.28,552.26,47.55,9053.03,2388.13,521.4,8.4416,23.2341,393,68
125,1406.42,552.44,47.63,9046.16,2388.11,521.57,8.4079,23.3039,394,67
126,1418.5,553.72,47.49,9049.11,2388.08,521.35,8.4378,23.2289,392,66
127,1399.49,553.81,47.63,9047.9,2388.1,521.34,8.4626,23.2772,393,65
128,1407.06,552.74,47.62,9056.59,2388.16,521.96,8.4413,23.2641,393,64
129,1408.42,552.42,47.61,9046.08,2388.13,522.02,8.4681,23.2656,393,63
130,1412.25,552.66,47.46,9042.97,2388.07,521.49,8.3938,23.3461,394,62
131,1413.25,553.7,47.7,9045.1,2388.13,521.45,8.4328,23.3435,391,61
132,1405.76,553.16,47.56,9044.04,2388.16,521.64,8.4227,23.3186,393,60
133,1410.11,553.82,47.57,9050.95,2388.09,521.23,8.4604,23.2521,394,59
134,1402.67,553.2,47.75,9046.16,2388.13,521.52,8.4293,23.2833,393,58
135,1406.83,553.09,47.34,9050.65,2388.12,520.99,8.4242,23.2744,392,57
136,1404.39,554.18,47.43,9040.89,2388.11,521.54,8.4469,23.1699,393,56
137,1405.15,553.39,47.89,9040.55,2388.12,521.63,8.449,23.2593,394,55
138,1413.34,552.91,47.4,9049.64,2388.18,521.57,8.4208,23.3664,392,54
139,1412.6,553.25,47.67,9044.81,2388.15,521.03,8.4621,23.3422,394,53
140,1408.36,552.15,47.51,9055.85,2388.05,521.27,8.4397,23.3704,393,52
141,1415.25,553.45,47.49,9050.86,2388.16,521.06,8.4641,23.2382,394,51
142,1413.42,553.11,47.59,9046.61,2388.18,520.44,8.4291,23.2816,392,50
143,1404.21,553.62,47.52,9050.63,2388.11,520.98,8.4419,23.2305,393,49
144,1405.76,553.77,47.57,9049.33,2388.17,521.11,8.4601,23.2249,393,48
145,1409.63,553.03,47.54,9046.92,2388.15,521.13,8.4644,23.149,395,47
146,1408.82,552.6,47.63,9045.99,2388.12,521.13,8.4312,23.3233,392,46
147,1409.96,553.09,47.8,9041.24,2388.12,520.92,8.4428,23.2684,393,45
148,1411.89,552.84,47.49,9040.93,2388.15,521.08,8.4276,23.2498,392,44
149,1410.7,552.54,47.83,9057.24,2388.15,521.13,8.4731,23.2565,394,43
150,1409.22,553.57,47.6,9044.76,2388.21,520.5,8.4726,23.2082,394,42
151,1411.94,552.41,47.58,9048.12,2388.22,520.94,8.4612,23.2277,394,41
152,1420.83,552.62,47.72,9043.9,2388.19,520.39,8.4572,23.2369,395,40
153,1414.56,552.68,47.74,9049.43,2388.17,520.69,8.4435,23.1719,393,39
154,1416.07,552.57,47.73,9049.08,2388.18,520.72,8.4794,23.2366,394,38
155,1414.89,552.89,47.61,9049.56,2388.17,521.23,8.4729,23.2749,394,37
156,1421.23,553.24,47.58,9044.21,2388.16,520.75,8.4432,23.2791,395,36
157,1412.47,552.32,47.72,9053.12,2388.17,520.94,8.4328,23.2354,392,35
158,1410.09,553.19,47.68,9049.22,2388.22,520.88,8.4368,23.2894,394,34
159,1420.37,552.18,47.76,9048.06,2388.23,520.65,8.4403,23.253,394,33
160,1418.08,551.87,47.84,9045.42,2388.22,520.47,8.4433,23.2817,396,32
161,1417.31,552.8,47.77,9048.06,2388.18,520.47,8.4405,23.2962,394,31
162,1423.48,552.68,47.79,9044.45,2388.2,520.44,8.5015,23.1538,394,30
163,1421.09,552.41,47.89,9049.24,2388.2,520.3,8.5129,23.1419,393,29
164,1416.76,551.9,47.7,9048.92,2388.28,520.63,8.4803,23.1761,394,28
165,1408.09,552.79,47.89,9039.09,2388.24,520.69,8.4922,23.2129,393,27
166,1422.37,552.13,47.86,9043.11,2388.22,520.02,8.4663,23.145,395,26
167,1414.72,552.57,47.85,9042.05,2388.18,520.49,8.4632,23.3011,394,25
168,1415.7,552.09,47.84,9036.35,2388.19,520.78,8.4925,23.277,393,24
169,1418.05,552.71,47.88,9055.18,2388.18,520.44,8.4767,23.187,394,23
170,1417.41,552.02,47.86,9044.03,2388.26,520.23,8.49,23.1615,395,22
171,1414.99,552.71,48.03,9042.12,2388.22,519.85,8.4922,23.2444,395,21
172,1413.73,551.69,48.07,9039.1,2388.26,520.54,8.4595,23.1585,393,20
173,1425.27,552.13,47.9,9048.82,2388.23,520.11,8.5091,23.1789,395,19
174,1422.58,552.32,48.0,9041.25,2388.21,520.22,8.4476,23.0357,393,18
175,1422.52,551.64,47.86,9042.66,2388.22,520.38,8.489,23.1573,394,17
176,1422.73,551.91,47.84,9045.74,2388.2,519.8,8.4853,23.2491,394,16
177,1423.99,551.93,48.03,9046.2,2388.23,520.24,8.4779,23.1673,396,15
178,1424.65,552.18,48.0,9046.17,2388.2,520.2,8.477,23.177,395,14
179,1429.45,551.57,48.02,9044.23,2388.18,520.38,8.4947,23.1888,395,13
180,1417.14,552.91,47.85,9039.33,2388.28,519.84,8.4737,23.007,395,12
181,1420.64,551.83,48.1,9038.29,2388.23,520.43,8.472,23.1652,397,11
182,1426.62,551.9,47.98,9041.23,2388.25,520.46,8.5158,23.1787,397,10
183,1419.03,551.38,48.03,9040.94,2388.23,520.05,8.5041,23.1302,396,9
184,1432.52,551.0,48.07,9047.91,2388.28,519.77,8.5133,23.0146,395,8
185,1424.4,551.64,48.15,9043.71,2388.27,519.82,8.4984,23.07,395,7
186,1426.3,552.57,48.12,9051.37,2388.25,520.08,8.5227,23.0564,397,6
187,1427.27,551.08,48.23,9037.71,2388.28,519.53,8.5218,23.0822,396,5
188,1422.78,551.94,48.0,9037.91,2388.23,519.79,8.5207,22.9588,396,4
189,1428.01,550.7,48.08,9044.55,2388.33,519.58,8.5183,23.1127,395,3
190,1425.95,551.29,48.33,9040.58,2388.35,520.04,8.5223,23.0675,398,2
191,1425.77,550.92,48.15,9042.76,2388.3,519.57,8.5174,23.1295,394,1
192,1427.2,551.25,48.25,9033.22,2388.32,520.08,8.5113,22.9649,396,0
1,1391.28,554.53,46.93,9054.72,2388.06,522.33,8.3905,23.4585,391,286
2,1393.13,554.77,47.24,9051.31,2387.98,522.7,8.4167,23.4085,392,285
3,1398.96,555.14,47.22,9054.24,2387.99,522.58,8.3802,23.425,391,284
4,1396.08,554.25,47.1,9058.01,2387.93,522.49,8.4018,23.5027,391,283
5,1402.52,555.12,47.25,9058.15,2387.94,522.27,8.3867,23.4234,390,282
6,1396.76,554.98,47.05,9054.07,2387.99,522.8,8.38,23.427,392,281
7,1400.65,554.84,47.1,9052.67,2388.04,522.14,8.3941,23.4718,391,280
8,1395.39,554.65,47.2,9055.82,2387.96,522.77,8.3861,23.4381,391,279
9,1395.01,554.69,47.14,9051.67,2387.98,522.4,8.3868,23.4875,390,278
10,1394.86,554.63,47.21,9058.88,2387.97,521.99,8.3982,23.6005,391,277
11,1401.29,554.7,47.21,9053.21,2388.03,522.2,8.4188,23.3888,392,276
12,1401.9,554.57,47.13,9047.89,2387.97,521.94,8.3925,23.4201,392,275
13,1401.53,554.69,47.03,9053.63,2387.99,522.33,8.3742,23.4317,391,274
14,1395.46,554.47,47.12,9047.3,2387.98,523.07,8.3887,23.4074,391,273
15,1402.11,554.17,47.17,9049.82,2388.02,521.96,8.3704,23.4311,393,272
16,1393.46,554.53,47.24,9051.79,2387.95,522.49,8.3805,23.4462,392,271
17,1390.27,553.62,47.13,9052.05,2388.08,522.71,8.3714,23.5245,391,270
18,1400.25,554.83,47.22,9051.35,2388.0,522.92,8.4053,23.4203,391,269
19,1401.77,555.25,47.14,9055.07,2387.98,522.38,8.4035,23.4102,392,268
20,1394.38,554.64,47.14,9050.27,2387.94,522.54,8.3698,23.3821,391,267
21,1392.28,554.72,47.04,9055.29,2388.01,522.58,8.3954,23.5014,391,266
22,1397.67,554.35,47.17,9053.31,2388.04,521.73,8.3792,23.4241,391,265
23,1387.5,554.69,47.21,9051.43,2388.07,522.26,8.3937,23.2867,393,264
24,1398.67,553.5,47.15,9052.35,2387.97,522.25,8.3866,23.3981,391,263
25,1396.62,554.14,47.19,9055.28,2388.03,522.31,8.3959,23.4883,391,262
26,1392.3,554.03,47.12,9050.81,2388.0,522.8,8.3472,23.4691,391,261
27,1402.31,555.16,47.03,9058.01,2388.06,522.11,8.4077,23.4275,392,260
28,1397.45,554.77,46.99,9053.78,2387.93,522.68,8.3734,23.4395,390,259
29,1398.08,554.75,47.11,9055.84,2388.02,522.26,8.37,23.4249,390,258
30,1395.07,554.62,47.2,9050.8,2388.0,522.43,8.419,23.3985,391,257
31,1390.94,554.8,47.05,9049.93,2388.04,522.17,8.4393,23.4154,391,256
32,1391.11,554.56,47.12,9045.87,2387.98,522.54,8.3783,23.4006,390,255
33,1396.15,553.62,47.09,9051.18,2387.99,522.26,8.4102,23.4434,392,254
34,1394.24,555.09,47.22,9059.29,2387.96,522.64,8.4188,23.4571,390,253
35,1392.55,554.73,47.25,9057.34,2388.0,522.0,8.4164,23.5283,394,252
36,1397.13,554.59,47.21,9055.79,2388.0,522.32,8.3709,23.3881,391,251
37,1396.29,555.01,47.16,9058.16,2388.02,522.69,8.3609,23.4047,391,250
38,1397.75,554.21,47.22,9055.35,2388.05,522.13,8.4069,23.4191,390,249
39,1391.49,554.05,47.2,9061.16,2388.05,522.79,8.3755,23.4489,391,248
40,1398.38,554.07,47.22,9046.96,2388.01,522.3,8.401,23.4402,391,247
41,1398.74,554.34,47.26,9053.6,2388.01,522.22,8.3856,23.3071,392,246
42,1392.13,553.98,47.14,9046.36,2388.0,522.87,8.3449,23.4631,392,245
43,1391.6,554.14,47.08,9053.65,2388.02,522.9,8.4144,23.4966,392,244
44,1398.69,554.16,47.22,9057.05,2388.06,522.77,8.4087,23.4546,392,243
45,1397.6,554.2,47.17,9060.38,2388.0,522.27,8.3847,23.4284,390,242
46,1392.6,554.54,47.19,9053.33,2388.05,522.08,8.3994,23.5041,390,241
47,1396.46,554.96,47.03,9046.52,2388.0,522.73,8.3756,23.3447,391,240
48,1397.95,554.67,47.18,9057.73,2387.98,522.41,8.3821,23.4336,392,239
49,1396.5,554.04,47.18,9049.11,2387.99,522.83,8.4024,23.4871,390,238
50,1399.78,554.73,47.16,9051.65,2388.05,522.16,8.4042,23.353,391,237
51,1393.06,555.02,47.03,9055.92,2388.01,522.34,8.3731,23.3239,392,236
52,1401.66,554.76,47.09,9056.25,2388.01,522.58,8.4064,23.3668,392,235
53,1397.09,554.33,46.98,9051.78,2388.01,522.73,8.411,23.5307,391,234
54,1405.33,554.42,47.1,9046.85,2387.99,522.48,8.4057,23.3626,392,233
55,1387.16,554.54,47.18,9044.62,2388.02,522.7,8.4077,23.3779,392,232
56,1388.97,554.72,47.03,9052.27,2388.01,522.1,8.393,23.3796,391,231
57,1389.62,553.87,47.17,9052.86,2387.96,521.98,8.4008,23.4544,391,230
58,1389.91,554.46,47.3,9047.75,2387.98,522.24,8.3731,23.3861,391,229
59,1397.95,554.6,47.17,9053.2,2388.0,522.78,8.4036,23.4347,391,228
60,1396.84,554.06,47.12,9057.57,2388.02,521.93,8.4003,23.3928,393,227
61,1399.71,555.08,47.09,9057.02,2387.99,522.69,8.4006,23.2745,391,226
62,1401.66,554.52,47.27,9048.8,2387.98,521.78,8.4193,23.4442,391,225
63,1395.05,554.63,47.17,9061.57,2388.01,522.15,8.3867,23.325,392,224
64,1401.46,554.93,47.11,9048.35,2388.05,522.18,8.4144,23.398,391,223
65,1395.4,554.28,47.34,9057.07,2387.98,522.52,8.4128,23.3455,391,222
66,1394.01,554.11,47.17,9054.62,2387.98,522.65,8.4121,23.426,392,221
67,1395.44,554.99,46.96,9048.97,2388.0,522.58,8.3761,23.3933,393,220
68,1399.27,554.07,47.16,9054.61,2388.0,522.2,8.4141,23.4076,392,219
69,1399.73,554.35,47.33,9049.25,2387.97,522.21,8.4116,23.3783,392,218
70,1397.3,554.47,47.26,9049.78,2387.98,522.17,8.4118,23.3894,392,217
71,1403.09,555.01,47.24,9053.44,2387.94,522.02,8.3993,23.317,392,216
72,1393.85,554.54,47.19,9057.61,2388.02,522.4,8.4012,23.4393,392,215
73,1400.98,554.41,47.15,9057.35,2388.02,522.95,8.3896,23.4567,390,214
74,1396.13,555.36,47.25,9060.56,2388.03,521.97,8.3932,23.4015,391,213
75,1390.64,555.45,47.09,9053.52,2388.07,522.54,8.3944,23.421,392,212
76,1399.66,554.05,46.99,9052.13,2388.07,522.08,8.3629,23.4591,392,211
77,1395.38,554.06,46.95,9052.12,2388.02,522.36,8.4399,23.4969,392,210
78,1394.24,554.83,47.12,9058.82,2387.98,522.57,8.4018,23.5367,391,209
79,1398.51,554.19,47.23,9057.44,2388.09,522.26,8.3931,23.2873,390,208
80,1394.0,554.94,47.2,9056.41,2388.03,523.26,8.3889,23.4198,391,207
81,1390.12,555.25,47.25,9053.0,2388.07,522.62,8.4162,23.4685,391,206
82,1402.78,554.17,47.19,9055.28,2388.0,522.3,8.3428,23.4491,391,205
83,1398.81,554.18,47.13,9047.88,2388.04,523.13,8.3997,23.4056,390,204
84,1402.26,554.86,47.29,9050.39,2387.92,522.75,8.394,23.4055,392,203
85,1398.33,554.5,47.19,9049.41,2387.96,522.63,8.3954,23.4072,391,202
86,1399.12,554.51,47.27,9050.83,2388.01,522.26,8.3958,23.4982,391,201
87,1399.51,554.77,47.26,9056.36,2387.96,522.59,8.3952,23.2916,393,200
88,1398.17,554.71,47.04,9056.67,2388.0,522.62,8.3851,23.4173,391,199
89,1394.07,554.18,47.18,9054.7,2388.08,522.42,8.4143,23.4148,393,198
90,1405.34,554.1,47.21,9053.58,2388.0,522.04,8.3922,23.4878,390,197
91,1399.47,553.79,47.15,9045.94,2388.05,522.48,8.4026,23.3972,391,196
92,1399.17,554.28,47.13,9050.92,2388.0,522.45,8.3919,23.2772,392,195
93,1392.48,553.92,47.24,9049.14,2388.0,522.52,8.4005,23.3075,391,194
94,1395.39,554.53,47.38,9054.99,2387.99,522.74,8.4075,23.4165,392,193
95,1402.79,553.99,47.06,9048.27,2388.02,522.37,8.3773,23.4318,392,192
96,1399.59,554.4,47.07,9059.0,2388.06,521.66,8.3698,23.3285,392,191
97,1400.5,554.42,47.19,9056.26,2388.06,522.22,8.4202,23.3578,391,190
98,1401.08,554.57,47.21,9056.94,2387.98,522.92,8.4115,23.5011,391,189
99,1400.97,554.43,47.13,9054.46,2388.0,522.5,8.4179,23.3414,393,188
100,1402.72,554.48,47.21,9056.18,2388.05,522.01,8.4107,23.331,390,187
101,1397.81,555.07,47.37,9051.47,2388.01,522.4,8.3835,23.4257,392,186
102,1407.05,554.44,47.19,9052.38,2388.04,522.05,8.4052,23.3453,391,185
103,1392.16,554.44,47.23,9050.8,2388.02,522.36,8.4148,23.4403,392,184
104,1397.31,554.91,47.26,9055.21,2388.07,522.18,8.4037,23.4053,390,183
105,1397.45,554.81,47.32,9058.39,2388.05,522.11,8.4056,23.3467,392,182
106,1402.62,553.96,47.32,9061.94,2387.97,522.11,8.3727,23.4154,393,181
107,1402.93,554.21,47.16,9058.97,2388.05,522.34,8.3723,23.5191,393,180
108,1396.25,554.29,47.23,9056.31,2388.04,522.27,8.3978,23.4441,391,179
109,1392.9,553.72,47.28,9053.21,2387.99,522.0,8.4061,23.3497,391,178
110,1398.47,554.5,47.31,9053.81,2388.02,522.27,8.3723,23.3997,391,177
111,1393.76,554.42,47.18,9062.68,2387.99,522.32,8.4437,23.4703,392,176
112,1397.2,554.33,47.37,9063.33,2388.0,522.23,8.4025,23.3444,392,175
113,1404.74,554.07,47.23,9049.1,2387.99,522.1,8.3994,23.5029,391,174
114,1397.05,555.1,47.19,9055.66,2388.02,522.13,8.4119,23.3784,391,173
115,1401.33,554.37,47.14,9055.06,2388.03,522.1,8.395,23.313,390,172
116,1398.39,554.45,47.01,9053.87,2388.02,522.48,8.3895,23.4542,391,171
117,1395.4,554.6,47.23,9056.45,2388.03,522.39,8.4365,23.432,392,170
118,1400.99,553.96,47.11,9055.61,2388.05,522.23,8.3735,23.2912,392,169
119,1401.87,554.32,47.24,9054.52,2388.0,522.21,8.4236,23.3731,392,168
120,1394.39,554.42,47.22,9056.54,2388.01,521.62,8.3666,23.4077,391,167
121,1391.52,554.51,47.28,9053.67,2387.97,522.31,8.4134,23.3381,392,166
122,1405.27,553.82,47.23,9051.03,2387.97,521.96,8.3783,23.3284,392,165
123,1403.23,554.31,47.21,9056.3,2388.03,522.14,8.3887,23.4492,391,164
124,1399.26,554.58,47.06,9053.57,2387.99,522.64,8.4049,23.3364,392,163
125,1397.94,554.81,47.31,9060.56,2387.98,522.23,8.4012,23.3785,391,162
126,1403.41,554.03,47.28,9057.08,2387.99,521.95,8.4243,23.3592,392,161
127,1400.81,554.08,47.21,9056.25,2388.08,522.2,8.4476,23.34,391,160
128,1397.34,554.16,47.2,9054.43,2388.05,522.36,8.4098,23.3966,392,159
129,1400.25,554.6,47.23,9052.79,2387.99,522.19,8.3986,23.4331,392,158
130,1409.98,554.42,47.26,9060.71,2388.05,522.4,8.4145,23.3645,391,157
131,1394.26,554.88,47.36,9055.73,2387.98,522.37,8.4074,23.4016,392,156
132,1398.78,554.4,47.12,9059.84,2388.03,522.25,8.4102,23.313,390,155
